ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
Pal 15,,,82.9,18.88,24.3,38.4,38.4,,,,,,,False,-39.86898475359256,122.76898475359256,125.29403128250387,0.9798470325915365,False,False,False,False
NGC 6266,,,-62.3,353.57,7.32,1.7,1.7,14.3,,,,,,False,13.825795948825155,-76.12579594882516,125.29403128250387,-0.6075771939780774,False,False,False,False
NGC 6273,,,143.8,356.87,9.38,1.7,1.7,,,,,,,False,6.812673590886529,136.98732640911348,125.29403128250387,1.0933268329458123,False,False,False,False
NGC 6284,,,36.7,358.35,9.94,7.5,7.5,6.3,,,,,,False,3.652830660228643,33.04716933977136,125.29403128250387,0.26375693240533543,False,False,False,False
NGC 6287,,,-279.1,0.13,11.02,2.1,2.1,,,,,,,False,-0.15534388869915894,-278.94465611130084,125.29403128250387,-2.2263203861830956,True,True,False,False
NGC 6293,,,-137.4,357.62,7.83,1.9,1.9,7.7,,,,,,False,5.212289025442534,-142.61228902544255,125.29403128250387,-1.1382209317209273,False,False,False,False
NGC 6304,-0.66,13.6,-99.3,355.83,5.38,2.3,2.3,,-0.66,13.6,-0.73,12.7,0.9000000000000004,False,9.028348766255354,-108.32834876625535,125.29403128250387,-0.8645930509012394,False,False,False,False
NGC 6316,,,79.9,357.18,5.76,2.6,2.6,,,,,,,False,6.151419627609577,73.74858037239042,125.29403128250387,0.5886040988345844,False,False,False,False
NGC 6341,-2.1,13.2,-103.5,68.34,34.86,9.6,9.6,6.0,-2.1,13.2,-2.13,13.399999999999999,-0.1999999999999993,False,-117.37704651276297,13.877046512762973,125.29403128250387,0.11075584663306122,False,False,False,False
NGC 6325,,,39.3,0.97,8.0,1.1,1.1,5.9,,,,,,False,-1.954447040003283,41.25444704000328,125.29403128250387,0.32926107187808296,False,False,False,False
NGC 6333,,,239.8,5.54,10.71,1.7,1.7,,,,,,,False,-11.745415045921746,251.54541504592174,125.29403128250387,2.0076408466637603,True,True,False,False
NGC 6342,,,126.3,4.9,9.72,1.7,1.7,5.2,,,,,,False,-10.375252016732961,136.67525201673297,125.29403128250387,1.0908360966418869,False,False,False,False
NGC 6356,,,38.0,6.72,10.22,7.5,7.5,,,,,,,False,-14.269455784664121,52.26945578466412,125.29403128250387,0.41717434780920054,False,False,False,False
NGC 6355,,,-167.9,359.59,5.43,1.4,1.4,,,,,,,False,1.0006500102935503,-168.90065001029356,125.29403128250387,-1.3480342860823806,False,False,False,False
NGC 6352,-0.7,12.7,-134.1,341.42,-7.17,3.3,3.3,,-0.7,12.7,-0.73,12.7,0.0,False,38.92033904383946,-173.02033904383944,125.29403128250387,-1.380914455962597,False,False,False,False
IC 1257,,,-127.0,16.54,15.15,17.9,17.9,,,,,,,False,-35.02808009770431,-91.9719199022957,125.29403128250387,-0.7340486929894059,False,False,False,False
Terzan 2,,,116.9,356.32,2.3,0.8,0.8,,,,,,,False,7.984973073674254,108.91502692632575,125.29403128250387,0.8692754619791271,False,False,False,False
NGC 6366,-0.73,13.3,-108.6,18.41,16.04,5.0,5.0,1.3,-0.73,13.3,-0.73,12.7,0.6000000000000014,False,-38.90102004529305,-69.69897995470694,125.29403128250387,-0.5562833220487156,False,False,False,False
Terzan 4,,,-42.3,356.02,1.31,1.0,1.0,,,,,,,False,8.62389570103395,-50.92389570103395,125.29403128250387,-0.4064351284716385,False,False,False,False
HP 1,,,54.0,357.44,2.12,0.5,0.5,,,,,,,False,5.596557698055488,48.40344230194451,125.29403128250387,0.38631881987105954,False,False,False,False
NGC 6362,-0.99,13.6,-15.6,325.55,-17.57,5.1,5.1,2.8,-0.99,13.6,-0.9299999999999999,13.1,0.5,False,68.54443105191484,-84.14443105191484,125.29403128250387,-0.6715757342198695,False,False,False,False
Liller 1,,,59.2,354.84,-0.16,0.8,0.8,,,,,,,False,11.133091710533703,48.0669082894663,125.29403128250387,0.38363286580737854,False,False,False,False
NGC 6380,,,2.1,350.18,-3.42,3.3,3.3,,,,,,,False,20.96353048087068,-18.86353048087068,125.29403128250387,-0.15055410291922497,False,False,False,False
Terzan 1,,,122.0,357.57,1.0,1.3,1.3,,,,,,,False,5.319041004338963,116.68095899566103,125.29403128250387,0.9312571221575375,False,False,False,False
Ton 2,,,-178.6,350.8,-3.42,1.4,1.4,,,,,,,False,19.664269337688253,-198.26426933768823,125.29403128250387,-1.5823919727720819,True,False,False,False
NGC 6388,-0.45,11.7,84.2,345.56,-6.74,3.1,3.1,18.9,-0.45,11.7,-0.53,11.45,0.25,False,30.537626038523726,53.66237396147628,125.29403128250387,0.4282915427988925,False,False,False,False
NGC 6402,,,-52.1,21.32,14.81,4.0,4.0,,,,,,,False,-44.855444563955665,-7.244555436044337,125.29403128250387,-0.05782043535425754,False,False,False,False
NGC 6401,,,-55.3,3.45,3.98,2.7,2.7,,,,,,,False,-7.2689528281684295,-48.03104717183157,125.29403128250387,-0.3833466501172323,False,False,False,False
